Month,Day,Sunday %,Monday %,Tuesday %,Wednesday %,Thursday %,Friday %,Saturday %
January,1,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514
January,2,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865
January,3,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963
January,4,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865
January,5,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415
January,6,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963
January,7,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415
January,8,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514
January,9,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865
January,10,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963
January,11,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865
January,12,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415
January,13,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963
January,14,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415
January,15,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514
January,16,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865
January,17,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963
January,18,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865
January,19,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415
January,20,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963
January,21,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415
January,22,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514
January,23,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865
January,24,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963
January,25,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865
January,26,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415
January,27,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963
January,28,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415
January,29,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514
January,30,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865
January,31,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963
